[0] 0.001935        init:0010198f:00:0f: Logging started.
[0] 0.001981        init:001019bf:32:03: Magic Lantern 2026-08-15.6D2.111 (3f24042a4 dev)
[0] 0.002005        init:001019cd:32:03: Built on 2026-08-15 23:20:54 UTC by chris@legion
[0] 0.002130     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc0000 0x4
[0] 0.002177     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc0004 0x4
[0] 0.002219     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc2000 0x4
[0] 0.002254     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc2004 0x4
[0] 0.002291     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc4000 0x4
[0] 0.002328     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc4004 0x4
[0] 0.002366     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc6000 0x4
[0] 0.002400     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc6004 0x4
[0] 0.002435     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc8000 0x4
[0] 0.002470     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc8004 0x4
[0] 0.002504     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dca000 0x4
[0] 0.002538     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dca004 0x4
[0] 0.002575     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dcc000 0x4
[0] 0.002609     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dcc004 0x4
[0] 0.002644     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dce000 0x4
[0] 0.002678     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dce004 0x4
[0] 0.002715     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd0000 0x4
[0] 0.002750     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd0004 0x4
[0] 0.002784     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd2000 0x4
[0] 0.002817     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd2004 0x4
[0] 0.002954     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd4000 0x4
[0] 0.002989     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd4004 0x4
[0] 0.003025     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd6000 0x4
[0] 0.003059     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd6004 0x4
[0] 0.003093     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd8000 0x4
[0] 0.003126     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd8004 0x4
[0] 0.003160     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dda000 0x4
[0] 0.003194     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dda004 0x4
[0] 0.003229     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1ddc000 0x4
[0] 0.003262     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1ddc004 0x4
[0] 0.003296     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dde000 0x4
[0] 0.003329     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dde004 0x4
[0] 0.003365     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de0000 0x4
[0] 0.003397     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de0004 0x4
[0] 0.003433     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de2000 0x4
[0] 0.003466     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de2004 0x4
[0] 0.003501     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de4000 0x4
