[0] 0.001935        init:0010198f:00:0f: Logging started.
[0] 0.001979        init:001019bf:32:03: Magic Lantern 2026-08-15.6D2.111 (3f24042a4 dev)
[0] 0.002004        init:001019cd:32:03: Built on 2026-08-15 23:20:54 UTC by chris@legion
[0] 0.002130     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc0000 0x4
[0] 0.002176     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc0004 0x4
[0] 0.002220     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc2000 0x4
[0] 0.002257     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc2004 0x4
[0] 0.002295     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc4000 0x4
[0] 0.002330     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc4004 0x4
[0] 0.002368     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc6000 0x4
[0] 0.002402     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc6004 0x4
[0] 0.002436     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc8000 0x4
[0] 0.002469     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc8004 0x4
[0] 0.002605     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dca000 0x4
[0] 0.002642     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dca004 0x4
[0] 0.002678     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dcc000 0x4
[0] 0.002712     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dcc004 0x4
[0] 0.002747     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dce000 0x4
[0] 0.002781     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dce004 0x4
[0] 0.002815     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd0000 0x4
[0] 0.002848     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd0004 0x4
[0] 0.002884     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd2000 0x4
[0] 0.002918     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd2004 0x4
[0] 0.002951     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd4000 0x4
[0] 0.002986     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd4004 0x4
[0] 0.003022     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd6000 0x4
[0] 0.003055     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd6004 0x4
[0] 0.003090     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd8000 0x4
[0] 0.003126     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd8004 0x4
[0] 0.003161     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dda000 0x4
[0] 0.003194     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dda004 0x4
[0] 0.003231     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1ddc000 0x4
[0] 0.003266     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1ddc004 0x4
[0] 0.003302     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dde000 0x4
[0] 0.003335     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dde004 0x4
[0] 0.003369     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de0000 0x4
[0] 0.003402     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de0004 0x4
[0] 0.003437     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de2000 0x4
[0] 0.003471     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de2004 0x4
[0] 0.003505     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de4000 0x4
[0] 0.003539     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de4004 0x4
[0] 0.003574     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de6000 0x4
[0] 0.003606     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de6004 0x4
[0] 0.003641     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de8000 0x4
[0] 0.003675     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de8004 0x4
[0] 0.003709     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dea000 0x4
[0] 0.003743     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dea004 0x4
[0] 0.003777     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dec000 0x4
[0] 0.003811     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dec004 0x4
[0] 0.003847     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dee000 0x4
[0] 0.003880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dee004 0x4
[0] 0.003915     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df0000 0x4
[0] 0.003948     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df0004 0x4
[0] 0.003984     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df2000 0x4
[0] 0.004018     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df2004 0x4
[0] 0.004053     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df4000 0x4
[0] 0.004087     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df4004 0x4
[0] 0.004122     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df6000 0x4
[0] 0.004155     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df6004 0x4
[0] 0.004189     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df8000 0x4
[0] 0.004222     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df8004 0x4
[0] 0.004258     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfa000 0x4
[0] 0.004290     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfa004 0x4
[0] 0.004324     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfc000 0x4
[0] 0.004360     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfc004 0x4
[0] 0.004396     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfe000 0x4
[0] 0.004430     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfe004 0x4
[0] 0.004471     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1dc8004 0x4
[0] 0.004507     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.004658      SFRead:e0162d95:02:05: PROPTUNEAD_CreateFROMPropertyHandleToDRAM Addr:0x41287000
[0] 0.004770      SFRead:e01f6c63:02:03: PROPCOMBO_LoadProperty(395)
[0] 0.004810      SFRead:e01e567d:00:01: [HPC] HPCopy() use ch1 !
[0] 0.004870     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dca000 0x4
[0] 0.004908     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dca004 0x4
[0] 0.004992     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e00000 0x4
[0] 0.005029     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e00004 0x4
[0] 0.005127     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e02000 0x4
[0] 0.005163     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e02004 0x4
[0] 0.005198     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e04000 0x4
[0] 0.005232     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e04004 0x4
[0] 0.005269     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e06000 0x4
[0] 0.005302     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e06004 0x4
[0] 0.005339     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e08000 0x4
[0] 0.005373     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e08004 0x4
[0] 0.005408     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0a000 0x4
[0] 0.005441     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0a004 0x4
[0] 0.005476     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0c000 0x4
[0] 0.005513     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0c004 0x4
[0] 0.005547     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0e000 0x4
[0] 0.005581     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0e004 0x4
[0] 0.005616     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e10000 0x4
[0] 0.005651     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e10004 0x4
[0] 0.005685     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e12000 0x4
[0] 0.005719     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e12004 0x4
[0] 0.005753     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e14000 0x4
[0] 0.005787     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e14004 0x4
