[0] 0.057600        init:001017df:00:0f: Logging started.
[0] 0.057856        init:0010180f:32:03: Magic Lantern 2026-08-15.6D2.111 (3f24042a4 dev)
[0] 0.057856        init:0010181d:32:03: Built on 2026-08-15 20:24:19 UTC by chris@legion
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc0000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc0004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc2000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc2004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc4000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc4004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc6000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc6004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dc8000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dc8004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dca000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dca004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dcc000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dcc004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dce000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dce004 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd0000 0x4
[0] 0.058624     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd0004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd2000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd2004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd4000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd4004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd6000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd6004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd8000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd8004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dda000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dda004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1ddc000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1ddc004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dde000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dde004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de0000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de0004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de2000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de2004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de4000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de4004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de6000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de6004 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1de8000 0x4
[0] 0.058880     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1de8004 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dea000 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dea004 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dec000 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dec004 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dee000 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dee004 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df0000 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df0004 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df2000 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df2004 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df4000 0x4
[0] 0.059136     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df4004 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df6000 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df6004 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df8000 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df8004 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfa000 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfa004 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfc000 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfc004 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfe000 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfe004 0x4
[0] 0.059392     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1df4004 0x4
[0] 0.059648     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.060928     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df6000 0x4
[0] 0.060928     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df6004 0x4
[0] 0.060928     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e00000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e00004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e02000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e02004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e04000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e04004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e06000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e06004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e08000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e08004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0a000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0a004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0c000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0c004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0e000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0e004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e10000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e10004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e12000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e12004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e14000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e14004 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e16000 0x4
[0] 0.061184     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e16004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e18000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e18004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e1a000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e1a004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e1c000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e1c004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e1e000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e1e004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e20000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e20004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e22000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e22004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e24000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e24004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e26000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e26004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e28000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e28004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e2a000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e2a004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e2c000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e2c004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e2e000 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e2e004 0x4
[0] 0.061440     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e30000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e30004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e32000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e32004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e34000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e34004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e36000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e36004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e38000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e38004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e3a000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e3a004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e3c000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e3c004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e3e000 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e3e004 0x4
[0] 0.061696     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1e00004 0x4
[0] 0.061696     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.061952     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e02000 0x4
[0] 0.061952     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e02004 0x4
